Instruction,Output
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 45 K, the threshold current-density was measured as ~3500 A/cm2 with a peak-power output of ~45 mW.",45 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The spectrometer revealed a wide range of emissions spanning from 2 to 4 THz.",2 to 4 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 25 K, the threshold current density is measured at 700 A/cm2, while the peak power shows an increase to 11.2 mW.",11.2 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL operates by utilizing a four-well structure fabricated within the GaAs/Al0.15Ga0.85As material system.		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 200-mm-wide and 2-mm-long laser, operating continuously at 125K, achieved an optical power of 15.0mW with a threshold current density of 1500 A/cm2.",15.0 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 40 K, the threshold current-density was measured as ~4000 A/cm2 with a peak-power output of ~50 mW.",50 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 18 K, the threshold current density is measured at 920 A/cm2, while the peak power shows an increase to 8.5 mW.",8.5 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 150 K.",150 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The performance of a terahertz quantum-cascade laser was observed at temperatures as high as 164 K when operated in pulsed mode and 117 K in continuous wave mode, maintaining a frequency of approximately 3.0 THz.		",3.0 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled OWI185-M1 (growth EA1304), was grown in GaP/Al0.05Ga0.95P.",GaP/Al0.05Ga0.95P
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our recent research focuses on optimizing the coupling between two MH modules, each consisting of three In0.4Ga0.6As/Ge quantum wells, to achieve a high oscillator strength of 0.502.",In0.4Ga0.6As/Ge
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A thermopile detector (ScienTech, model AC4000) was used to measure 0.8 mW of peak cw power from a single facet collected with a Winston cone with a circular opening of 4.40 mm diameter, placed next to the cryostat window.",0.8 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At a frequency of 90 Hz and operating at 21 K, the threshold current density displays 765 A/cm2, and the peak power reaches 5.58 mW.",5.48 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The incorporation of advanced cooling methods made it possible for quantum-cascade lasers to function at 175 K in pulsed mode and at 130 K in continuous-wave mode.","175 K, 130 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In order to enhance it, we utilize a basic method to expand the range of dynamic density for THz QCLs by implementing a four-quantum-well configuration using GaAs/Al0.15Ga0.85As materials.		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In order to avoid overheating, the device was operated at a maximum heatsink temperature (Tmax) of 195 K during the pulsed test.",195 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By incorporating a scattering-assisted injection and resonant-phonon depopulation design, researchers successfully developed a 1.2 THz quantum cascade laser (QCL).",1.2 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 1.8 THz quantum cascade laser (QCL) based on a scattering-assisted injection and resonant-phonon depopulation method is showcased in the experiment.",1.8 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We report terahertz quantum-cascade lasers operating predominantly at 2.05 THz with side modes as low as 1.98 THz.","2.05 THz, 1.98 THz"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A two-well period has been incorporated into the QCL, consisting of a InAs/In0.8Al0.2As material system.",InAs/In0.8Al0.2As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Based on the relatively high operating temperatures and duty cycles, we propose that direct LO-phonon-based depopulation is a robust method for achieving quantum cascade lasers at long-wavelength THz frequencies.		",LO-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The THz QCLs under investigation emit in the range of 2.8 to 3.9 THz.",2.8 THz to 3.9 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The THz QCLs under investigation emit in the range of 8.7 to 10.3 THz.",8.7 to 10.3 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 15 K, the threshold current density is measured at 1200 A/cm2, while the peak power shows an increase to 7.8 mW.",7.8 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optical power of 20mW was achieved with a threshold current density of 200 A/cm2 at 5K from a 80-Mm-wide and 1-mm-long laser in cw operation.",20 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Four quantum well structures are utilized in GaAs/AlGaAs quantum cascade lasers, reported to function at a frequency of 4.17 THz.		",4.17 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The newly developed terahertz quantum cascade lasers have been tested and found to work at pulsed temperatures of 210 K and cw temperatures of 150 K.","210 K, 150 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a heat-sink temperature limit of 375 K, the QCL is well-equipped to handle the intense heat and pressure of deep-sea drilling operations.",375 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We report the demonstration of a terahertz quantum-cascade laser that operates up to 164 K in pulsed mode and 117 K in continuous wave mode at approximately 3.0 THz.		",3.0 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 4.2 THz, 75 mW of peak optical power was measured at 4 K, and approximately 4 mW could still be detected at 175 K.",4.2 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The device exhibited optimal lasing capabilities at a heatsink temperature (Tmax) of 220 K during pulsed operation.",220 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A team of scientists have developed a method to fabricate GaAs/AlGaAs quantum cascade lasers with four quantum wells, demonstrating efficient operation at 7.6 THz.",GaAs/AlGaAs
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a higher input power, the device lased up to a maximum heatsink temperature (Tmax) of 235 K.",235 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The use of state-of-the-art cooling techniques allowed for the operation of quantum-cascade lasers at 120 K in pulsed mode and at 130 K in continuous-wave mode.","120 K, 130 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optical power of 30mW was achieved with a threshold current density of 300 A/cm2 at 10K from a 60-mm-wide and 0.75-mm-long laser in cw operation.",30 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:After adding 2.5 grams of a chemical substance, the continuous wave output power exceeds the previous record by reaching 9.7 W at room temperature.",9.7 W
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 130-mm-wide and 1.5-mm-long laser achieved an optical power output of 62mW and a threshold current density of 285 A/cm2 at 10K while operating continuously.		",62 mW
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: By employing a scattering-assisted injection and resonant-phonon depopulation technique, a 17.3 THz QCL has been effectively implemented.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In an experiment, resonant-phonon terahertz quantum-cascade lasers were found to be functional up to a heat-sink temperature of 180 K.",180 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: In the construction of the QCL, a four-well design is used within the GaAs/Al0.15Ga0.85As material combination.		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Employing a novel scattering-assisted injection and resonant-phonon depopulation method, researchers were able to successfully create a one-of-a-kind 9.2 THz quantum cascade laser.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 122 K in pulsed mode, 99 K in continuous wave (cw) mode.","122 K, 99 K"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have successfully created GaAs/AlGaAs quantum cascade lasers with eleven quantum wells, achieving emission at 4.99 THz in their recent study.",4.99 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By combining this fabrication with an improved active region design, operation of a 3 THz QCL is observed up to 164 K in pulsed mode and 117 K in cw mode.		",3 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser achieved an optical power of 450mW with a threshold current density of 4000 A/cm2 at 200K, from a 800-mm-wide and 8-mm-long laser, while operating continuously.",450 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Through our experiments, we prove that the optimal 5.6-mm-long device operating at 3.78 THz has a low threshold current density of 240 A/cm2 at 18 K.",3.78 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Operation of terahertz quantum-cascade lasers consisted of pulsed operation at 164 K and continuous-wave operation at 117 K.		","164 K, 117 K"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A heat-sink temperature of 170 K is now possible for terahertz quantum-cascade lasers, thanks to the utilization of resonant phonons in their design, paving the way for new breakthroughs in laser technology.",resonant-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The resonant LO phonon concept27,41 was illustrated in this experiment, with electrons utilizing resonant tunneling to pass through the collector barrier and being dispersed by swift longitudinal-optical (LO) phonons into level 3 before being reintroduced into the next set of components.",(LO) phonons
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The study involved observing the resonant LO phonon process27,41, which involves electrons going through the collector barrier through resonant tunneling and being scattered by swift longitudinal-optical (LO) phonons into level 3 before being reinserted into the adjacent module.",LO phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 8 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 173K for the devices with Cu waveguide.",173 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: This is known as the resonant LO phonon scheme, which includes both resonant tunneling across the collector barrier and quick scattering of longitudinal-optical (LO) phonons towards level 1, before returning them to the next component.",LO phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 25 K, the threshold current-density was measured as ~500 A/cm2 with a peak-power output of ~8 mW.",8 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A two-well period has been incorporated into the QCL, consisting of a GaSb/Al0.2In0.8Sb material system.",GaSb/Al0.2In0.8Sb
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Operation of terahertz quantum-cascade lasers at 164 K in pulsed mode and at 117 K in continuous-wave mode.		","164 K, 117 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We have exhibited terahertz quantum cascade lasers that function at pulsed temperatures of 180 K and cw temperatures of 125 K.","180 K, 125 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A thermopile detector (Manufacturer A, model P2200) positioned next to the cryostat window recorded a maximum cw power of 0.9 mW from a single facet collected with a Winston cone with a circular opening of 1.50 mm diameter.",0.9 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At a heat-sink temperature of 165 K, resonant-phonon terahertz quantum-cascade lasers set a new record in laser technology.",resonant-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 69 K, the threshold current-density was measured as ~898 A/cm2 with a peak-power output of ~14 mW.",14 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Considering the relatively high temperatures at which they operate and the frequency of their cycles, we propose that leveraging direct LO-phonon-based depopulation is a dependable means of obtaining quantum cascade lasers that emit long-wavelength THz frequencies.		",LO-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser's continuous operation at 10K resulted in an optical power output of 62mW and a threshold current density of 285 A/cm2, with a 130-m-wide and 1.5-mm-long laser.		",62 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 122 K in pulsed mode, 99 K in continuous wave (cw) mode.","122 K, 99 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At a frequency of 70 Hz and operating at 17 K, the threshold current density indicates 595 A/cm2, and the peak power reaches 4.34 mW.",4.34 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A heat-sink temperature of 170 K is now possible for terahertz quantum-cascade lasers, thanks to the utilization of resonant phonons in their design, paving the way for new breakthroughs in laser technology.",170 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In a groundbreaking achievement, resonant-phonon terahertz quantum-cascade lasers operated at a heat-sink temperature of 215 K, surpassing all previous accomplishments in laser technology.",resonant-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our LED is made of GaSb/Al0.02Ga0.98As, resembling Ref [1], but with a 2% expansion in all layer thicknesses.",GaSb/Al0.02Ga0.98As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By lowering the current density, the device was able to maintain a maximum heatsink temperature (Tmax) of 150 K.",150 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser technology was revolutionized with resonant-phonon terahertz quantum-cascade lasers operating at a heat-sink temperature of 150 K.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Operating at 2.67 THz, the device maintains its functionality at a maximum temperature of 151K.		",151 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The combination of this production procedure with a refined active region design leads to the 3 THz QCL being able to operate up to 164 K in pulsed mode and 117 K in continuous wave mode.		",3 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Using a circular opening of 1.90 mm, a Winston cone effectively collected light emitted from a single facet, resulting in a peak continuous power measurement of 0.5 mW. The measurement was taken by placing a thermopile detector (ScienTech, model AC2500) next to the window of the cryostat.		",0.5 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:An eleven-well period, incorporating In0.8Ga0.2As/GaSb materials, has been implemented in the QCL to enhance its efficiency.",In0.8Ga0.2As/GaSb
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design, we were able to achieve continuous-wave operation of 10.5 THz quantum cascade lasers emitting at 5.0 THz.","10.5 THz, 5.0 THz"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A record-breaking 12.4 THz quantum cascade laser was successfully fabricated through the utilization of a pioneering scattering-assisted injection and resonant-phonon depopulation approach.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The demonstration of InGaAs-based terahertz quantum cascade lasers reaching a maximum operating temperature of 142K has been documented in our report. 		",142 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We successfully operated 4.63 THz quantum cascade lasers continuously by implementing a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.",4.63 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A broad spectral emission range between 3.3 and 4 THz is measured.		",3.3 THz to 4 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In a recent study, a GaAs/AlGaAs quantum cascade laser with seven quantum well structures was shown to operate at 4.2 THz with high efficiency.",4.2 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL can handle any task thrown its way, with a heat-sink temperature limit of 550 K, making it a versatile option for a wide range of industries.",550 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For four wafers based on InGaN/AlGaN heterostructures for lasers with target frequencies of 4.12 and 4.67 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.","4.12 THZ, 4.67 THz"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At a reduced duty cycle, the device still achieved a maximum heatsink temperature (Tmax) of 280 K.",280 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our solar cell is made of GaN/In0.01Ga0.99As, resembling Ref [9], but with a 1% reduction in all layer thicknesses.",GaN/In0.01Ga0.99As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Pulsed operation at 5 K results in a threshold current density of 840 A/cm2 and a peak power output of approximately 2.5 milliwatts.		",2.5 milliwatts
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design, we were able to achieve continuous-wave operation of 10.5 THz quantum cascade lasers emitting at 5.0 THz.",bound-to-continuum
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A record-breaking optical power of 100mW was achieved with a remarkably low threshold current density of 25 A/cm2 at 50K from a 160-mm-wide and 2.5-mm-long laser in continuous-wave operation.",100 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We have achieved a highly efficient MH system by using six quantum well GaAs/Al0.25Ga0.75As active modules with diagonal transitions and an optimized oscillator strength of 0.521.",GaAs/Al0.25Ga0.75As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 156 K in pulsed mode and at 230 K in continuous-wave mode.","156 K, 230 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device was able to lase at a maximum heatsink temperature (Tmax) of 205 K.",205 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 100 K, the threshold current-density was measured as ~900 A/cm2 with a peak-power output of ~15 mW.",15 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For four wafers based on InGaN/AlGaN heterostructures for lasers with target frequencies of 4.12 and 4.67 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.",InGaN/AlGaN 
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 103 K in pulsed mode, 94 K in continuous wave (cw) mode.","103 K, 94 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our groundbreaking technology allows for unprecedented results, with threshold current densities as high as 2.0 kA/cm2 and peak optical powers up to 15 mW.",15 mW
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our experimental results demonstrate efficient continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 2.5 THz, employing bound-to-continuum active region and carbon-based surface-plasmon waveguide design.",bound-to-continuum
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our team has reached a major milestone with terahertz quantum cascade lasers operating up to pulsed temperatures of 185 K and cw temperatures of 128 K.","185 K, 128 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With resonant-phonon terahertz quantum-cascade lasers operating at a heat-sink temperature of 155 K, the future of laser technology looks brighter than ever.",155 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 100 K, the threshold current-density was measured as ~900 A/cm2 with a peak-power output of ~15 mW.",15 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a frequency of 100 Hz and operating at 20 K, the threshold current density denotes 850 A/cm2, and the peak power reaches 6.2 mW.",6.2 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The latest innovation in laser technology is the use of resonant-phonon terahertz quantum-cascade lasers, which can operate efficiently at a heat-sink temperature of 160.5 K.",160.5 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Continuous wave mode proved to be more efficient for the laser, as it was able to operate at a heat-sink temperature of 94 K.",94 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With the help of a state-of-the-art cooling system, we were able to maintain a heat-sink temperature of 130 K for our quantum-cascade lasers.",130 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have successfully improved the performance of terahertz quantum cascade lasers, allowing them to operate up to pulsed temperatures of 175 K and cw temperatures of 120 K.","175 K, 120 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The threshold current-density was recorded as approximately 745 amperes per square centimeter at a temperature of 46 Kelvin, with a peak-power output of approximately 10 milliwatts. 		",10 milliwatts
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 20 K, the threshold current density is measured at 800 A/cm2, while the peak power shows an increase to 6.5 mW.",6.5 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To achieve better performance, a ten-well period of GaAs/GaSb materials has been introduced in the QCL.",GaAs/GaSb
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 18 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 190K for the devices with Cu waveguide.",190 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The incredible pulsed Tmax of 208 K achieved by this terahertz QCL is unprecedented, especially considering its smaller radiative oscillator strength.",208 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:An AlAs/InAs quantum cascade laser with four quantum well structures was found to operate at 7.6 THz.",7.6 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 90 K.",90 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our research indicates that the ideal 10.2-mm-long device operating at 8.92 THz has a low threshold current density of 210 A/cm2 at 5 K.",8.92 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For two wafers based on GaAs/GaN heterostructures for lasers with target frequencies of 4.11 and 5.37 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.",GaAs/GaN
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our research team has successfully lowered the heat-sink temperature to an impressive 225 K for our terahertz quantum-cascade lasers.",225 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a six-well GaAs/Al0.25Ga0.75As structure.",GaAs/Al0.25Ga0.75As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 150-mm-wide laser with a length of 2 mm had a threshold current density of 380 A/cm2 and an optical power of 65mW in cw operation at 16K.",65 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:An eight-well period using GaAsP/In0.2Ga0.8As material system has been implemented in the QCL with promising results.",GaAsP/In0.2Ga0.8As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 35 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 210K for the devices with Cu waveguide.",210 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Our team effectively utilized a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design, allowing for the continuous operation of 12.3 THz quantum cascade lasers.",bound-to-continuum
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We report terahertz quantum-cascade lasers operating predominantly at 1.85 THz with side modes as low as 1.77 THz.","1.85 THz, 1.77 THz"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 40 K, the threshold current density is measured at 400 A/cm2, while the peak power shows an increase to 10.3 mW.",10.3 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When measured with a thermopile detector (ScienTech, model AC1500) placed next to the cryostat window, a peak cw power of 0.6 mW was detected from a single facet collected with a Winston cone with a circular opening of 2.00 mm diameter.",0.6 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: This is known as the resonant LO phonon scheme, which involves both resonant tunneling through the collector barrier and rapid scattering of longitudinal-optical (LO) phonons into level 1, from which they are subsequently reinjected into the subsequent module.",(LO) phonons
